govDistrict,admDistrict,districtType,town,population,supermarket,store
Oberbayern,Fürstenfeldbruck,Landkreis,Grafrath,3654,1,1
Oberbayern,Fürstenfeldbruck,Landkreis,Gröbenzell,19754,7,4
Oberbayern,Fürstenfeldbruck,Landkreis,Hattenhofen,1439,0,1
Oberbayern,Fürstenfeldbruck,Landkreis,Jesenwang,1531,0,2
Oberbayern,Fürstenfeldbruck,Landkreis,Kottgeisering,1623,1,1
Oberbayern,Fürstenfeldbruck,Landkreis,Landsberied,1475,1,0
Oberbayern,Fürstenfeldbruck,Landkreis,Maisach,13088,4,4
Oberbayern,Fürstenfeldbruck,Landkreis,Mammendorf,4600,3,4
Oberbayern,Fürstenfeldbruck,Landkreis,Mittelstetten,1687,1,0
Oberbayern,Fürstenfeldbruck,Landkreis,Moorenweis,3917,4,4
Oberbayern,Fürstenfeldbruck,Landkreis,Oberschweinbach,1651,1,0
Oberbayern,Fürstenfeldbruck,Landkreis,Olching,26172,8,12
Oberbayern,Fürstenfeldbruck,Landkreis,Puchheim,20547,6,8
Oberbayern,Fürstenfeldbruck,Landkreis,Schöngeising,1918,1,1
Oberbayern,Fürstenfeldbruck,Landkreis,Türkenfeld,3738,1,4
Oberbayern,Garmisch-Partenkirchen,Landkreis,Bad Bayersoien,1143,1,2
Oberbayern,Garmisch-Partenkirchen,Landkreis,Bad Kohlgrub,2576,1,3
Oberbayern,Garmisch-Partenkirchen,Landkreis,Eschenlohe,1583,1,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Ettal,835,1,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Farchant,3720,3,2
Oberbayern,Garmisch-Partenkirchen,Landkreis,Garmisch-Partenkirchen,26629,14,25
Oberbayern,Garmisch-Partenkirchen,Landkreis,Grainau,3523,4,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Großweil,1465,2,2
Oberbayern,Garmisch-Partenkirchen,Landkreis,Krün,1924,3,2
Oberbayern,Garmisch-Partenkirchen,Landkreis,Mittenwald,7400,5,13
Oberbayern,Garmisch-Partenkirchen,Landkreis,Murnau a. Staffelsee,12467,9,11
Oberbayern,Garmisch-Partenkirchen,Landkreis,Oberammergau,5119,4,7
Oberbayern,Garmisch-Partenkirchen,Landkreis,Oberau,3036,2,3
Oberbayern,Garmisch-Partenkirchen,Landkreis,Ohlstadt,3242,2,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Riegsee,1177,0,0
Oberbayern,Garmisch-Partenkirchen,Landkreis,Saulgrub,1649,1,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Schwaigen,592,0,0
Oberbayern,Garmisch-Partenkirchen,Landkreis,Seehausen a. Staffelsee,2484,0,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Spatzenhausen,751,0,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Uffing a. Staffelsee,3003,3,3
Oberbayern,Garmisch-Partenkirchen,Landkreis,Unterammergau,1509,0,1
Oberbayern,Garmisch-Partenkirchen,Landkreis,Wallgau,1414,1,2
Oberbayern,Ingolstadt,Stadt,Ingolstadt,128230,56,39
Oberbayern,Landsberg am Lech,Landkreis,Apfeldorf,1073,1,1
Oberbayern,Landsberg am Lech,Landkreis,Denklingen,2561,1,1
Oberbayern,Landsberg am Lech,Landkreis,Dießen am Ammersee,10377,7,8
Oberbayern,Landsberg am Lech,Landkreis,Eching am Ammersee,1656,1,1
Oberbayern,Landsberg am Lech,Landkreis,Egling a. d. Paar,2286,1,2
Oberbayern,Landsberg am Lech,Landkreis,Eresing,1831,0,1
Oberbayern,Landsberg am Lech,Landkreis,Finning,1687,1,1
Oberbayern,Landsberg am Lech,Landkreis,Fuchstal,3529,4,2
Oberbayern,Landsberg am Lech,Landkreis,Geltendorf,5579,3,1
Oberbayern,Landsberg am Lech,Landkreis,Greifenberg,2205,1,0
Oberbayern,Landsberg am Lech,Landkreis,Hofstetten,1804,1,1
Oberbayern,Landsberg am Lech,Landkreis,Hurlach,1695,1,0
Oberbayern,Landsberg am Lech,Landkreis,Igling,2385,0,1
Oberbayern,Landsberg am Lech,Landkreis,Kaufering,9950,5,4
Oberbayern,Landsberg am Lech,Landkreis,Kinsau,1027,1,1
Oberbayern,Landsberg am Lech,Landkreis,Landsberg a. Lech,27830,19,12
Oberbayern,Landsberg am Lech,Landkreis,Obermeitingen,1636,0,0
Oberbayern,Landsberg am Lech,Landkreis,Penzing,3603,0,3
Oberbayern,Landsberg am Lech,Landkreis,Prittriching,2430,1,3
Oberbayern,Landsberg am Lech,Landkreis,Pürgen,3295,1,0
Oberbayern,Landsberg am Lech,Landkreis,Reichling,1595,0,3
Oberbayern,Landsberg am Lech,Landkreis,Rott,1497,1,4
Oberbayern,Landsberg am Lech,Landkreis,Scheuring,1868,0,0
Oberbayern,Landsberg am Lech,Landkreis,Schondorf am Ammersee,3950,2,3
Oberbayern,Landsberg am Lech,Landkreis,Schwifting,920,0,0
Oberbayern,Landsberg am Lech,Landkreis,Thaining,929,1,1
Oberbayern,Landsberg am Lech,Landkreis,Unterdießen,1393,2,3
Oberbayern,Landsberg am Lech,Landkreis,Utting am Ammersee,4389,2,3
Oberbayern,Landsberg am Lech,Landkreis,Vilgertshofen,2521,1,1
Oberbayern,Landsberg am Lech,Landkreis,Weil,3790,0,0
Oberbayern,Landsberg am Lech,Landkreis,Windach,3695,1,1
Oberbayern,Miesbach,Landkreis,Bad Wiessee,4849,4,4
Oberbayern,Miesbach,Landkreis,Bayrischzell,1636,1,4
Oberbayern,Miesbach,Landkreis,Fischbachau,5495,3,9
Oberbayern,Miesbach,Landkreis,Gmund a.Tegernsee,6023,2,3
Oberbayern,Miesbach,Landkreis,Hausham,8049,5,7
Oberbayern,Miesbach,Landkreis,Holzkirchen,15733,8,10
Oberbayern,Miesbach,Landkreis,Irschenberg,3178,0,6
Oberbayern,Miesbach,Landkreis,Kreuth,3823,0,2
Oberbayern,Miesbach,Landkreis,Miesbach,11176,6,8
Oberbayern,Miesbach,Landkreis,Otterfing,4646,1,1
Oberbayern,Miesbach,Landkreis,Rottach-Egern,5623,5,7
Oberbayern,Miesbach,Landkreis,Schliersee,6666,2,6
Oberbayern,Miesbach,Landkreis,Tegernsee,3914,3,4
Oberbayern,Miesbach,Landkreis,Valley,3031,0,3
Oberbayern,Miesbach,Landkreis,Waakirchen,5596,3,3
Oberbayern,Miesbach,Landkreis,Warngau,3833,1,4
Oberbayern,Miesbach,Landkreis,Weyarn,3445,1,2
Oberbayern,Mühldorf am Inn,Landkreis,Ampfing,6089,3,6
Oberbayern,Mühldorf am Inn,Landkreis,Aschau a. Inn,2892,1,0
Oberbayern,Mühldorf am Inn,Landkreis,Buchbach,3133,1,2
Oberbayern,Mühldorf am Inn,Landkreis,Egglkofen,1204,1,1
Oberbayern,Mühldorf am Inn,Landkreis,Erharting,904,0,1
Oberbayern,Mühldorf am Inn,Landkreis,Gars a. Inn,3784,5,2
Oberbayern,Mühldorf am Inn,Landkreis,Haag i. OB,6351,6,4
Oberbayern,Mühldorf am Inn,Landkreis,Heldenstein,2423,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Jettenbach,713,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Kirchdorf,1353,0,2
Oberbayern,Mühldorf am Inn,Landkreis,Kraiburg a. Inn,4011,2,5
Oberbayern,Mühldorf am Inn,Landkreis,Lohkirchen,706,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Maitenbeth,1931,1,0
Oberbayern,Mühldorf am Inn,Landkreis,Mettenheim,3436,2,1
Oberbayern,Mühldorf am Inn,Landkreis,Mühldorf a. Inn,18393,10,11
Oberbayern,Mühldorf am Inn,Landkreis,Neumarkt-Sankt Veit,6015,4,6
Oberbayern,Mühldorf am Inn,Landkreis,Niederbergkirchen,1218,1,1
Oberbayern,Mühldorf am Inn,Landkreis,Niedertaufkirchen,1323,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Oberbergkirchen,1619,1,1
Oberbayern,Mühldorf am Inn,Landkreis,Oberneukirchen,836,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Obertaufkirchen,2445,2,0
Oberbayern,Mühldorf am Inn,Landkreis,Polling,3347,1,5
Oberbayern,Mühldorf am Inn,Landkreis,Rattenkirchen,957,0,0
Oberbayern,Mühldorf am Inn,Landkreis,Rechtmehring,1863,1,1
Oberbayern,Mühldorf am Inn,Landkreis,Reichertsheim,1657,2,1
Oberbayern,Mühldorf am Inn,Landkreis,Schönberg,951,0,1
Oberbayern,Mühldorf am Inn,Landkreis,Schwindegg,3441,3,2
Oberbayern,Mühldorf am Inn,Landkreis,Taufkirchen,1354,1,8
Oberbayern,Mühldorf am Inn,Landkreis,Unterreit,1721,0,2
Oberbayern,Mühldorf am Inn,Landkreis,Waldkraiburg,23729,14,8
Oberbayern,Mühldorf am Inn,Landkreis,Zangberg,1110,0,0
Oberbayern,München,Landkreis,Aschheim,8035,6,3
Oberbayern,München,Landkreis,Aying,4731,1,2
Oberbayern,München,Landkreis,Baierbrunn,3069,1,0
Oberbayern,München,Landkreis,Brunnthal,4976,3,3
Oberbayern,München,Landkreis,Feldkirchen,7110,2,3
Oberbayern,München,Landkreis,Garching b. München,16526,7,5
Oberbayern,München,Landkreis,Gräfelfing,13223,4,9
Oberbayern,München,Landkreis,Grasbrunn,6599,3,0
Oberbayern,München,Landkreis,Grünwald,11191,5,6
Oberbayern,München,Landkreis,Haar,20006,7,6
Oberbayern,München,Landkreis,Hohenbrunn,9192,1,1
Oberbayern,München,Landkreis,Höhenkirchen-Siegertsbrunn,10300,3,3
Oberbayern,München,Landkreis,Ismaning,15802,6,8
Oberbayern,München,Landkreis,Kirchheim b. München,12756,5,5
Oberbayern,München,Landkreis,Neubiberg,13829,5,3
Oberbayern,München,Landkreis,Neuried,8577,2,2
Oberbayern,München,Landkreis,Oberhaching,13225,3,2
Oberbayern,München,Landkreis,Oberschleißheim,11772,4,4
Oberbayern,München,Landkreis,Ottobrunn,20765,7,7
Oberbayern,München,Landkreis,Planegg,10674,5,5
Oberbayern,München,Landkreis,Pullach i. Isartal,8843,4,2
Oberbayern,München,Landkreis,Putzbrunn,6434,3,2
Oberbayern,München,Landkreis,Sauerlach,7340,4,8
Oberbayern,München,Landkreis,Schäftlarn,5781,1,1
Oberbayern,München,Landkreis,Straßlach-Dingharting,2996,4,3
Oberbayern,München,Landkreis,Taufkirchen,1354,5,8
Oberbayern,München,Landkreis,Unterföhring,10782,6,2
Oberbayern,München,Landkreis,Unterhaching,23411,14,5
Oberbayern,München,Landkreis,Unterschleißheim,26238,10,2
Oberbayern,München,Stadt,München,1439438,494,288
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Aresing,2755,1,2
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Berg im Gau,1228,0,1
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Bergheim,1810,1,0
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Brunnen,1576,0,1
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Burgheim,4522,3,4
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Ehekirchen,3693,1,0
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Gachenbach,2323,1,4
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Karlshuld,5297,4,5
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Karlskron,4812,2,2
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Königsmoos,4527,0,1
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Langenmosen,1518,1,3
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Neuburg a. d. Donau,28754,18,16
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Oberhausen,2689,1,2
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Rennertshofen,4781,3,2
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Rohrenfels,1537,1,1
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Schrobenhausen,16112,13,14
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Waidhofen,2206,1,0
Oberbayern,Neuburg-Schrobenhausen,Landkreis,Weichering,2434,1,0
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Baar-Ebenhausen,4920,1,1
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Ernsgaden,1574,1,1
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Geisenfeld,10204,5,4
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Gerolsbach,3370,1,2
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Hettenshausen,2042,0,0
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Hohenwart,4589,2,6
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Ilmmünster,2072,1,2
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Jetzendorf,3022,1,1
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Manching,11471,5,3
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Münchsmünster,2868,1,4
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Pfaffenhofen a. d. Ilm,24379,13,10
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Pörnbach,2126,0,1
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Reichertshausen,4891,2,2
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Reichertshofen,7692,7,6
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Rohrbach,5714,2,3
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Scheyern,4659,1,2
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Schweitenkirchen,4981,2,4
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Vohburg a. d. Donau,7577,4,5
Oberbayern,Pfaffenhofen an der Ilm,Landkreis,Wolnzach,11171,4,10
Oberbayern,Rosenheim,Landkreis,Albaching,1628,1,2
Oberbayern,Rosenheim,Landkreis,Amerang,3589,2,2
Oberbayern,Rosenheim,Landkreis,Aschau i. Chiemgau,5742,2,5
Oberbayern,Rosenheim,Landkreis,Babensham,2936,1,1
Oberbayern,Rosenheim,Landkreis,Bad Aibling,17866,7,11
Oberbayern,Rosenheim,Landkreis,Bad Endorf,8130,8,4
Oberbayern,Rosenheim,Landkreis,Bad Feilnbach,7704,4,3
Oberbayern,Rosenheim,Landkreis,Bernau a. Chiemsee,7159,3,4
Oberbayern,Rosenheim,Landkreis,Brannenburg,5870,4,6
Oberbayern,Rosenheim,Landkreis,Breitbrunn a. Chiemsee,1471,1,1
Oberbayern,Rosenheim,Landkreis,Bruckmühl,16057,8,10
Oberbayern,Rosenheim,Landkreis,Chiemsee,304,0,0
Oberbayern,Rosenheim,Landkreis,Edling,4328,3,2
Oberbayern,Rosenheim,Landkreis,Eggstätt,2930,2,4
Oberbayern,Rosenheim,Landkreis,Eiselfing,2940,0,0
Oberbayern,Rosenheim,Landkreis,Feldkirchen-Westerham,10469,9,6
Oberbayern,Rosenheim,Landkreis,Flintsbach a. Inn,3003,1,1
Oberbayern,Rosenheim,Landkreis,Frasdorf,3046,1,3
Oberbayern,Rosenheim,Landkreis,Griesstätt,2708,2,2
Oberbayern,Rosenheim,Landkreis,Großkarolinenfeld,7137,3,1
Oberbayern,Rosenheim,Landkreis,Gstadt a. Chiemsee,1364,2,2
Oberbayern,Rosenheim,Landkreis,Halfing,2690,2,3
Oberbayern,Rosenheim,Landkreis,Höslwang,1234,1,0
Oberbayern,Rosenheim,Landkreis,Kiefersfelden,6816,7,4
Oberbayern,Rosenheim,Landkreis,Kolbermoor,18163,9,6
Oberbayern,Rosenheim,Landkreis,Neubeuern,4272,1,2
Oberbayern,Rosenheim,Landkreis,Nußdorf a. Inn,2665,1,3
Oberbayern,Rosenheim,Landkreis,Oberaudorf,5060,4,4
Oberbayern,Rosenheim,Landkreis,Pfaffing,3900,2,0
Oberbayern,Rosenheim,Landkreis,Prien a. Chiemsee,10555,10,9
Oberbayern,Rosenheim,Landkreis,Prutting,2574,1,1
Oberbayern,Rosenheim,Landkreis,Ramerberg,1380,0,1
Oberbayern,Rosenheim,Landkreis,Raubling,11220,6,5
Oberbayern,Rosenheim,Landkreis,Riedering,5532,3,4
Oberbayern,Rosenheim,Landkreis,Rimsting,3736,1,3
Oberbayern,Rosenheim,Landkreis,Rohrdorf,5586,2,4
Oberbayern,Rosenheim,Landkreis,Rott a. Inn,3732,1,4
Oberbayern,Rosenheim,Landkreis,Samerberg,2691,1,0
Oberbayern,Rosenheim,Landkreis,Schechen,4642,1,1
Oberbayern,Rosenheim,Landkreis,Schonstett,1286,1,1
Oberbayern,Rosenheim,Landkreis,Söchtenau,2658,1,2
Oberbayern,Rosenheim,Landkreis,Soyen,2728,2,3
Oberbayern,Rosenheim,Landkreis,Stephanskirchen,10069,4,3
Oberbayern,Rosenheim,Landkreis,Tuntenhausen,7042,1,8
Oberbayern,Rosenheim,Landkreis,Vogtareuth,3148,1,1
Oberbayern,Rosenheim,Landkreis,Wasserburg a. Inn,12280,12,4
Oberbayern,Rosenheim,Stadt,Rosenheim,60246,29,26
Oberbayern,Starnberg,Landkreis,Andechs,3382,2,3
Oberbayern,Starnberg,Landkreis,Berg,8310,2,3
Oberbayern,Starnberg,Landkreis,Feldafing,4294,1,3
Oberbayern,Starnberg,Landkreis,Gauting,20345,5,5
Oberbayern,Starnberg,Landkreis,Gilching,17988,8,5
Oberbayern,Starnberg,Landkreis,Herrsching a. Ammersee,10284,5,9
Oberbayern,Starnberg,Landkreis,Inning a. Ammersee,4462,1,1
Oberbayern,Starnberg,Landkreis,Krailling,7650,2,2
Oberbayern,Starnberg,Landkreis,Pöcking,5664,3,3
Oberbayern,Starnberg,Landkreis,Seefeld,7115,2,6
Oberbayern,Starnberg,Landkreis,Starnberg,23261,13,10
Oberbayern,Starnberg,Landkreis,Tutzing,9600,6,5
Oberbayern,Starnberg,Landkreis,Weßling,5300,2,2
Oberbayern,Starnberg,Landkreis,Wörthsee,4902,2,1
Oberbayern,Traunstein,Landkreis,Altenmarkt a. d. Alz,4242,1,3
Oberbayern,Traunstein,Landkreis,Bergen,4891,2,3
Oberbayern,Traunstein,Landkreis,Chieming,4587,2,4
Oberbayern,Traunstein,Landkreis,Engelsberg,2605,2,1
Oberbayern,Traunstein,Landkreis,Fridolfing,4149,3,3
Oberbayern,Traunstein,Landkreis,Grabenstätt,4295,4,2
Oberbayern,Traunstein,Landkreis,Grassau,6466,4,2
Oberbayern,Traunstein,Landkreis,Inzell,4556,3,5
Oberbayern,Traunstein,Landkreis,Kienberg,1365,1,0
Oberbayern,Traunstein,Landkreis,Kirchanschöring,3178,2,1
Oberbayern,Traunstein,Landkreis,Marquartstein,3259,2,1
Oberbayern,Traunstein,Landkreis,Nußdorf,2440,1,3
Oberbayern,Traunstein,Landkreis,Obing,3996,3,3
Oberbayern,Traunstein,Landkreis,Palling,3391,2,4
Oberbayern,Traunstein,Landkreis,Petting,2289,1,1
Oberbayern,Traunstein,Landkreis,Pittenhart,1722,1,0
Oberbayern,Traunstein,Landkreis,Reit im Winkl,2318,3,4
Oberbayern,Traunstein,Landkreis,Ruhpolding,6408,5,6
Oberbayern,Traunstein,Landkreis,Schleching,1746,2,1
Oberbayern,Traunstein,Landkreis,Schnaitsee,3586,2,3
Oberbayern,Traunstein,Landkreis,Seeon-Seebruck,4600,4,1
Oberbayern,Traunstein,Landkreis,Siegsdorf,8082,5,4
Oberbayern,Traunstein,Landkreis,Staudach-Egerndach,1112,0,1
Oberbayern,Traunstein,Landkreis,Surberg,3212,1,0
Oberbayern,Traunstein,Landkreis,Tacherting,5478,4,2
Oberbayern,Traunstein,Landkreis,Taching a. See,1911,0,0
Oberbayern,Traunstein,Landkreis,Tittmoning,5934,6,8
Oberbayern,Traunstein,Landkreis,Traunreut,20315,10,1
Oberbayern,Traunstein,Landkreis,Traunstein,19023,16,17
Oberbayern,Traunstein,Landkreis,Trostberg,11380,9,7
Oberbayern,Traunstein,Landkreis,Übersee,4918,2,5
Oberbayern,Traunstein,Landkreis,Unterwössen,3511,3,2
Oberbayern,Traunstein,Landkreis,Vachendorf,1840,1,1
Oberbayern,Traunstein,Landkreis,Waging a. See,6523,7,7
Oberbayern,Traunstein,Landkreis,Wonneberg,1509,0,1
Oberbayern,Weilheim-Schongau,Landkreis,Altenstadt,3260,2,3
Oberbayern,Weilheim-Schongau,Landkreis,Antdorf,1267,0,3
Oberbayern,Weilheim-Schongau,Landkreis,Bernbeuren,2304,1,3
Oberbayern,Weilheim-Schongau,Landkreis,Bernried am Starnberger See,2235,1,2
Oberbayern,Weilheim-Schongau,Landkreis,Böbing,1779,1,1
Oberbayern,Weilheim-Schongau,Landkreis,Burggen,1702,1,1
Oberbayern,Weilheim-Schongau,Landkreis,Eberfing,1354,0,2
Oberbayern,Weilheim-Schongau,Landkreis,Eglfing,1001,0,2
Oberbayern,Weilheim-Schongau,Landkreis,Habach,1063,0,0
Oberbayern,Weilheim-Schongau,Landkreis,Hohenfurch,1529,1,0
Oberbayern,Weilheim-Schongau,Landkreis,Hohenpeißenberg,3726,2,0
Oberbayern,Weilheim-Schongau,Landkreis,Huglfing,2593,2,0
Oberbayern,Weilheim-Schongau,Landkreis,Iffeldorf,2546,1,2
Oberbayern,Weilheim-Schongau,Landkreis,Ingenried,928,0,2
Oberbayern,Weilheim-Schongau,Landkreis,Oberhausen,2689,1,2
Oberbayern,Weilheim-Schongau,Landkreis,Obersöchering,1573,2,4
Oberbayern,Weilheim-Schongau,Landkreis,Pähl,2455,1,6
Oberbayern,Weilheim-Schongau,Landkreis,Peißenberg,12506,6,8
Oberbayern,Weilheim-Schongau,Landkreis,Peiting,11620,9,5
Oberbayern,Weilheim-Schongau,Landkreis,Penzberg,16327,7,10
Oberbayern,Weilheim-Schongau,Landkreis,Polling,3347,1,5
Oberbayern,Weilheim-Schongau,Landkreis,Prem,884,0,3
Oberbayern,Weilheim-Schongau,Landkreis,Raisting,2235,2,1
Oberbayern,Weilheim-Schongau,Landkreis,Rottenbuch,1764,1,0
Oberbayern,Weilheim-Schongau,Landkreis,Schongau,12208,8,5
Oberbayern,Weilheim-Schongau,Landkreis,Schwabbruck,922,1,1
Oberbayern,Weilheim-Schongau,Landkreis,Schwabsoien,1292,1,0
Oberbayern,Weilheim-Schongau,Landkreis,Seeshaupt,2900,2,2
Oberbayern,Weilheim-Schongau,Landkreis,Sindelsdorf,1097,1,1
Oberbayern,Weilheim-Schongau,Landkreis,Steingaden,2773,1,3
Oberbayern,Weilheim-Schongau,Landkreis,Weilheim i. OB,21509,10,10
Oberbayern,Weilheim-Schongau,Landkreis,Wessobrunn,2168,0,1
Oberbayern,Weilheim-Schongau,Landkreis,Wielenbach,3211,2,1
Oberbayern,Weilheim-Schongau,Landkreis,Wildsteig,1271,0,1
Oberfranken,Bamberg,Landkreis,Altendorf,905,0,0
Oberfranken,Bamberg,Landkreis,Baunach,3948,1,4
Oberfranken,Bamberg,Landkreis,Bischberg,5990,4,4
Oberfranken,Bamberg,Landkreis,Breitengüßbach,4757,5,4
Oberfranken,Bamberg,Landkreis,Burgebrach,6481,5,4
Oberfranken,Bamberg,Landkreis,Burgwindheim,1379,2,0
Oberfranken,Bamberg,Landkreis,Buttenheim,3369,3,2
Oberfranken,Bamberg,Landkreis,Ebrach,1870,1,5
Oberfranken,Bamberg,Landkreis,Frensdorf,4895,1,3
Oberfranken,Bamberg,Landkreis,Gerach,960,0,0
Oberfranken,Bamberg,Landkreis,Gundelsheim,3323,1,0
Oberfranken,Bamberg,Landkreis,Hallstadt,8419,4,5
Oberfranken,Bamberg,Landkreis,Heiligenstadt i. OFr.,3587,2,2
Oberfranken,Bamberg,Landkreis,Hirschaid,11912,9,6
Oberfranken,Bamberg,Landkreis,Kemmern,2578,1,2
Oberfranken,Bamberg,Landkreis,Königsfeld,1319,0,1
Oberfranken,Bamberg,Landkreis,Lauter,1138,1,0
Oberfranken,Bamberg,Landkreis,Lisberg,1756,1,1
Oberfranken,Bamberg,Landkreis,Litzendorf,5996,3,7
Oberfranken,Bamberg,Landkreis,Memmelsdorf,8880,4,5
Oberfranken,Bamberg,Landkreis,Oberhaid,4684,1,2
Oberfranken,Bamberg,Landkreis,Pettstadt,1960,1,0
Oberfranken,Bamberg,Landkreis,Pommersfelden,2929,1,2
Oberfranken,Bamberg,Landkreis,Priesendorf,1519,0,4
Oberfranken,Bamberg,Landkreis,Rattelsdorf,4490,2,2
Oberfranken,Bamberg,Landkreis,Reckendorf,1974,1,3
Oberfranken,Bamberg,Landkreis,Scheßlitz,7045,4,6
Oberfranken,Bamberg,Landkreis,Schlüsselfeld,5625,6,9
Oberfranken,Bamberg,Landkreis,Schönbrunn i. Steigerwald,1842,1,0
Oberfranken,Bamberg,Landkreis,Stadelhofen,1223,0,4
Oberfranken,Bamberg,Landkreis,Stegaurach,6862,3,7
Oberfranken,Bamberg,Landkreis,Strullendorf,7731,1,7
Oberfranken,Bamberg,Landkreis,Viereth-Trunstadt,3623,2,5
Oberfranken,Bamberg,Landkreis,Walsdorf,2566,1,2
Oberfranken,Bamberg,Landkreis,Wattendorf,673,0,0
Oberfranken,Bamberg,Landkreis,Zapfendorf,5001,3,5
Oberfranken,Bamberg,Stadt,Bamberg,69871,37,38
Oberfranken,Bayreuth,Landkreis,Ahorntal,2231,0,3
Oberfranken,Bayreuth,Landkreis,Aufseß,1306,1,4
Oberfranken,Bayreuth,Landkreis,Bad Berneck i. Fichtelgebirge,4539,3,5
Oberfranken,Bayreuth,Landkreis,Betzenstein,2483,0,8
Oberfranken,Bayreuth,Landkreis,Bindlach,7151,2,5
Oberfranken,Bayreuth,Landkreis,Bischofsgrün,1932,1,3
Oberfranken,Bayreuth,Landkreis,Creußen,4657,2,2
Oberfranken,Bayreuth,Landkreis,Eckersdorf,5142,2,1
Oberfranken,Bayreuth,Landkreis,Emtmannsberg,1103,0,0
Oberfranken,Bayreuth,Landkreis,Fichtelberg,1916,1,3
Oberfranken,Bayreuth,Landkreis,Gefrees,4523,2,5
Oberfranken,Bayreuth,Landkreis,Gesees,1294,0,1
Oberfranken,Bayreuth,Landkreis,Glashütten,1439,1,0
Oberfranken,Bayreuth,Landkreis,Goldkronach,3641,1,4
Oberfranken,Bayreuth,Landkreis,Haag,932,0,0
Oberfranken,Bayreuth,Landkreis,Heinersreuth,3657,1,1
Oberfranken,Bayreuth,Landkreis,Hollfeld,5107,5,5
Oberfranken,Bayreuth,Landkreis,Hummeltal,2385,0,3
Oberfranken,Bayreuth,Landkreis,Kirchenpingarten,1335,0,1
Oberfranken,Bayreuth,Landkreis,Mehlmeisel,1320,2,6
Oberfranken,Bayreuth,Landkreis,Mistelbach,1597,1,0
Oberfranken,Bayreuth,Landkreis,Mistelgau,3765,1,0
Oberfranken,Bayreuth,Landkreis,Pegnitz,13486,8,13
Oberfranken,Bayreuth,Landkreis,Plankenfels,860,0,2
Oberfranken,Bayreuth,Landkreis,Plech,1328,2,2
Oberfranken,Bayreuth,Landkreis,Pottenstein,5342,2,7
Oberfranken,Bayreuth,Landkreis,Prebitz,1059,0,0
Oberfranken,Bayreuth,Landkreis,Schnabelwaid,975,0,0
Oberfranken,Bayreuth,Landkreis,Seybothenreuth,1351,0,1
Oberfranken,Bayreuth,Landkreis,Speichersdorf,5980,4,6
Oberfranken,Bayreuth,Landkreis,Waischenfeld,3104,2,9
Oberfranken,Bayreuth,Landkreis,Warmensteinach,2130,1,1
Oberfranken,Bayreuth,Landkreis,Weidenberg,6318,5,8
Oberfranken,Bayreuth,Stadt,Bayreuth,72001,35,38
Oberfranken,Coburg,Landkreis,Ahorn,4286,1,5
Oberfranken,Coburg,Landkreis,Bad Rodach,6340,5,8
