admDistrict,districtType,town,ruralStoreName,inFormation
Oberallgäu,Landkreis,Altstädten,Dorfladen Altstädten eG,
Oberallgäu,Landkreis,Börwang,Dorfladen Börwang GmbH,
Oberallgäu,Landkreis,Heising,Dorfladen Heising GmbH,
Oberallgäu,Landkreis,Krugzell,Dorfladen Krugzell GmbH,
Oberallgäu,Landkreis,Niedersonthofen,Dorfladen Niedersonthofen UG (haftungsbeschränkt),
Oberallgäu,Landkreis,Probstried,Dorfladen Probstried GmbH,
Oberallgäu,Landkreis,Rettenberg,Familie Frisch,
Ostallgäu,Landkreis,Hopferbach,Dorfladen Hopferbach GmbH,
Ostallgäu,Landkreis,Rettenbach,Weichbergmarkt GmbH Rettenbach a.A.,
Ostallgäu,Landkreis,Friesenried,Dorfladen Friesenried UG,
Regen,Landkreis,Bayerisch Eisenstein,Eisensteiner Dorfladen eG,
Rhön-Grabfeld,Landkreis,Unsleben,Dorfladen Unsleben eG,
Rosenheim,Landkreis,Evenhausen,Dorfladen Evenhausen UG (haftungsbeschränkt),
Rosenheim,Landkreis,Pfaffenhofen,Dorfladen Pfaffenhofen UG (haftungsbeschränkt),
Rosenheim,Landkreis,Sachrang,Sachranger Dorfladen UG (haftungsbeschränkt),
Roth,Landkreis,Schwanstetten,Unser Markt in Schwanstetten UG,
Schwandorf,Landkreis,Altendorf,Dorfladen Altendorf UG (haftungsbeschränkt),
Schwandorf,Landkreis,Gleiritsch,Dorfladen Gleiritsch UG (haftungsbeschränkt),
Schwandorf,Landkreis,Schwarzhofen,Dorfladen Schwarzhofen GmbH,
Straubing-Bogen,Landkreis,Irlbach,Irlbacher Dorfladen UG (haftungsbeschränkt),
Tirschenreuth,Landkreis,Fuchsmühl,Dorfladen Fuchsmühl UG (haftungsbeschränkt),
Traunstein,Landkreis,Frabertsham,Dorfladen Frabertsham UG (haftungsbeschränkt),
Traunstein,Landkreis,Hammer,Dorfladen Hammer UG (haftungsbeschränkt),
Traunstein,Landkreis,Schleching,Dorfladen Schleching UG (haftungsbeschränkt),
Unterallgäu,Landkreis,Niederrieden,Dorfladen Niederrieden GmbH,
Unterallgäu,Landkreis,Wolfertschwenden,Dorfladen Wolfertschwenden GmbH,
Weilheim-Schongau,Landkreis,Habach,Dorfladen Habach UG (haftungsbeschränkt),
Weißenburg-Gunzenhausen,Landkreis,Absberg,Dorfladen Absberg eG,
Würzburg,Landkreis,Eisenheim,Dorfladen Eisenheim UG (haftungsbeschränkt),ja
Würzburg,Landkreis,Uengershausen,Dorfladen Uengershausen UG (haftungsbeschränkt),
