govDistrict,admDistrict,admDistrictShort,districtType,id,pop2014,pop2005,shopCount2005,shopCount2015,salesArea2005,salesArea2015,employees2007,employees2015
Unterfranken,Schweinfurt,,Stadt,09662,51610,54273,27,31,1,1,334,228
Unterfranken,Würzburg,,Stadt,09663,124219,133906,46,49,1,1,201,277
Unterfranken,Aschaffenburg,,Landkreis,09671,172776,174974,82,72,690,722,257,211
Unterfranken,Bad Kissingen,,Landkreis,09672,102901,107988,77,51,590,664,253,385
Unterfranken,Rhön-Grabfeld,,Landkreis,09673,79676,86094,60,47,508,620,162,180
Unterfranken,Haßberge,,Landkreis,09674,84152,87607,55,45,575,618,294,193
Unterfranken,Kitzingen,,Landkreis,09675,88492,89501,61,42,622,735,134,173
Unterfranken,Miltenberg,,Landkreis,09676,127941,131376,62,56,617,838,394,431
Unterfranken,Main-Spessart,,Landkreis,09677,125915,131218,90,71,586,704,389,200
Unterfranken,Schweinfurt,,Landkreis,09678,113747,115924,60,52,535,576,169,154
Unterfranken,Würzburg,,Landkreis,09679,159253,159978,77,70,658,595,67,206
Schwaben,Augsburg,,Stadt,09761,281111,262676,101,93,995,1,439,738
Schwaben,Kaufbeuren,,Stadt,09762,42014,42183,22,21,1,1,160,167
Schwaben,Kempten,,Stadt,09763,65624,61360,39,35,794,1,205,403
Schwaben,Memmingen,,Stadt,09764,42201,41107,28,25,1,1,188,288
Schwaben,Aichach-Friedberg,,Landkreis,09771,129294,127446,49,56,767,774,358,594
Schwaben,Augsburg,,Landkreis,09772,242697,241381,104,109,918,911,273,572
Schwaben,Dillingen an der Donau,,Landkreis,09773,93478,95512,44,40,732,884,105,205
Schwaben,Günzburg,,Landkreis,09774,121828,122450,60,65,841,793,223,209
Schwaben,Neu-Ulm,,Landkreis,09775,167847,163387,70,69,1,967,636,527
Schwaben,Lindau (Bodensee),Lindau,Landkreis,09776,79387,79467,40,34,660,665,145,123
Schwaben,Ostallgäu,,Landkreis,09777,135894,134766,92,79,549,665,427,337
Schwaben,Unterallgäu,,Landkreis,09778,138712,135708,72,70,604,571,144,229
Schwaben,Donau-Ries,,Landkreis,09779,130203,130969,75,61,656,843,238,308
Schwaben,Oberallgäu,,Landkreis,09780,150981,150507,83,77,591,619,205,548
