govDistrict,admDistrict,districtType,town,ags,pop2015,noSupermarket,noStore
Niederbayern,Straubing-Bogen,Landkreis,Haselbach,9278134,"1,785",x,
Niederbayern,Straubing-Bogen,Landkreis,Irlbach,9278140,"1,129",x,
Niederbayern,Straubing-Bogen,Landkreis,Loitzendorf,9278147,622,x,
Niederbayern,Straubing-Bogen,Landkreis,Perasdorf,9278171,566,x,x
Niederbayern,Straubing-Bogen,Landkreis,Perkam,9278172,"1,531",x,
Niederbayern,Straubing-Bogen,Landkreis,Rattiszell,9278179,"1,479",x,
Niederbayern,Straubing-Bogen,Landkreis,Windberg,9278198,"1,068",x,x
Oberpfalz,Tirschenreuth,Landkreis,Ebnath,9377115,"1,284",x,
Oberpfalz,Tirschenreuth,Landkreis,Friedenfels,9377118,"1,254",x,
Oberpfalz,Tirschenreuth,Landkreis,Fuchsmühl,9377119,"1,642",x,
Oberpfalz,Tirschenreuth,Landkreis,Kastl,9377128,"1,395",x,x
Oberpfalz,Tirschenreuth,Landkreis,Konnersreuth,9377131,"1,816",x,
Oberpfalz,Tirschenreuth,Landkreis,Leonberg,9377137,"1,013",x,
Oberpfalz,Tirschenreuth,Landkreis,Neualbenreuth,9377142,"1,380",x,
Oberpfalz,Tirschenreuth,Landkreis,Pechbrunn,9377145,"1,355",x,
Oberpfalz,Tirschenreuth,Landkreis,Reuth b.Erbendorf,9377149,"1,202",x,
Oberbayern,Traunstein,Landkreis,Petting,9189135,"2,291",x,
Oberbayern,Traunstein,Landkreis,Staudach-Egerndach,9189146,"1,155",x,x
Oberbayern,Traunstein,Landkreis,Taching a.See,9189150,"1,948",x,
Oberbayern,Traunstein,Landkreis,Wonneberg,9189165,"1,489",x,x
Schwaben,Unterallgäu,Landkreis,Apfeltrach,9778113,927,x,x
Schwaben,Unterallgäu,Landkreis,Benningen,9778118,"2,071",x,
Schwaben,Unterallgäu,Landkreis,Böhen,9778119,734,x,
Schwaben,Unterallgäu,Landkreis,Fellheim,9778139,"1,114",x,x
Schwaben,Unterallgäu,Landkreis,Hawangen,9778149,"1,329",x,
Schwaben,Unterallgäu,Landkreis,Kirchhaslach,9778157,"1,280",x,
Schwaben,Unterallgäu,Landkreis,Kronburg,9778161,"1,755",x,
Schwaben,Unterallgäu,Landkreis,Lachen,9778162,"1,478",x,x
Schwaben,Unterallgäu,Landkreis,Lauben,9778163,"1,355",x,
Schwaben,Unterallgäu,Landkreis,Memmingerberg,9778171,"2,830",x,x
Schwaben,Unterallgäu,Landkreis,Oberrieden,9778183,"1,243",x,
Schwaben,Unterallgäu,Landkreis,Oberschönegg,9778184,965,x,
Schwaben,Unterallgäu,Landkreis,Pleß,9778188,840,x,
Schwaben,Unterallgäu,Landkreis,Salgen,9778190,"1,439",x,x
Schwaben,Unterallgäu,Landkreis,Winterrieden,9778217,887,x,
Oberbayern,Weilheim-Schongau,Landkreis,Antdorf,9190113,"1,261",x,
Oberbayern,Weilheim-Schongau,Landkreis,Eberfing,9190120,"1,366",x,
Oberbayern,Weilheim-Schongau,Landkreis,Eglfing,9190121,"1,040",x,x
Oberbayern,Weilheim-Schongau,Landkreis,Habach,9190126,"1,145",x,x
Oberbayern,Weilheim-Schongau,Landkreis,Ingenried,9190133,991,x,
Oberbayern,Weilheim-Schongau,Landkreis,Prem,9190143,867,x,
Oberbayern,Weilheim-Schongau,Landkreis,Wessobrunn,9190158,"2,177",x,
Oberbayern,Weilheim-Schongau,Landkreis,Wildsteig,9190160,"1,342",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Absberg,9577111,"1,326",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Alesheim,9577113,966,x,x
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Bergen,9577115,"1,087",x,x
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Burgsalach,9577120,"1,148",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Dittenheim,9577122,"1,770",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Ettenstatt,9577127,843,x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Haundorf,9577138,"2,720",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Höttingen,9577141,"1,125",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Markt Berolzheim,9577149,"1,269",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Meinheim,9577150,838,x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Raitenbuch,9577163,"1,198",x,
Mittelfranken,Weißenburg-Gunzenhausen,Landkreis,Solnhofen,9577168,"1,692",x,
Oberfranken,Wunsiedel im Fichtelgebirge,Landkreis,Bad Alexandersbad,9479111,988,x,
Oberfranken,Wunsiedel im Fichtelgebirge,Landkreis,Höchstädt i.Fichtelgebirge,9479126,"1,132",x,
Oberfranken,Wunsiedel im Fichtelgebirge,Landkreis,Thierstein,9479159,"1,143",x,
Unterfranken,Würzburg,Landkreis,Bieberehren,9679118,912,x,
Unterfranken,Würzburg,Landkreis,Bütthard,9679122,"1,311",x,
Unterfranken,Würzburg,Landkreis,Erlabrunn,9679128,"1,736",x,
Unterfranken,Würzburg,Landkreis,Frickenhausen a.Main,9679131,"1,233",x,
Unterfranken,Würzburg,Landkreis,Holzkirchen,9679149,968,x,
Unterfranken,Würzburg,Landkreis,Altertheim,9679165,"1,956",x,
Unterfranken,Würzburg,Landkreis,Eisenheim,9679167,"1,326",x,x
Unterfranken,Würzburg,Landkreis,Oberpleichfeld,9679169,"1,082",x,
Unterfranken,Würzburg,Landkreis,Prosselsheim,9679174,"1,182",x,
Unterfranken,Würzburg,Landkreis,Riedenheim,9679179,723,x,
Unterfranken,Würzburg,Landkreis,Sonderhofen,9679188,839,x,
Unterfranken,Würzburg,Landkreis,Tauberrettersheim,9679192,876,x,
Unterfranken,Würzburg,Landkreis,Theilheim,9679193,"2,297",x,
Unterfranken,Würzburg,Landkreis,Winterhausen,9679206,"1,447",x,
